ID_REF,logFC,pval,FDR
1552705_at,0.11194469075500102,0.5516858951507951,
1552708_a_at,0.25699447834464273,0.19899594843985036,
1552711_a_at,0.07365533905613653,0.5061333166242092,
1552712_a_at,0.11934603105989794,0.42250935548793767,
1552713_a_at,0.07994072027067212,0.6957107364585484,
1552714_at,-0.388368577780013,0.13058760384751456,
1552715_a_at,0.21162377315917968,0.32172673706605315,
1552716_at,-0.0740382903998551,0.5597150389129135,
1552717_s_at,0.019764552585270323,0.8592784893393725,
1552718_at,0.15241816905774286,0.3367074849693774,
1552719_at,-0.037644675397501715,0.6960604461896153,
1552721_a_at,-0.11590814924125858,0.6127915763326102,
1552722_at,0.009264436300169265,0.9536420360797007,
1552724_at,0.06115824535794445,0.6628153256945462,
1552725_s_at,0.0854743233465749,0.6063268104220014,
1552726_at,0.33060504844332783,0.21804671377503188,
1552727_s_at,0.3452708582916024,0.12401376267904304,
1552729_at,0.19887424779959062,0.18861038488036758,
1552730_at,0.0037355056686454446,0.9833200167915153,
1552731_at,0.2915365611118279,0.290396601585808,
1552732_at,-0.01977404799704008,0.9255561372959842,
1552733_at,-0.1626326618362377,0.1357373089713996,
1552734_at,-0.17226656888153968,0.09806453125375089,
1552735_at,0.46836024601149084,0.007044980579979204,
1552736_a_at,0.2406685214543458,0.2069273689466803,
1552737_s_at,-0.07812333342389177,0.6492862499227021,
1552738_a_at,-0.10208797346680232,0.43202793573401654,
1552739_s_at,0.015453727277369822,0.8723582789323665,
1552740_at,0.5402551195347449,0.014022247691990107,
1552742_at,0.02960422428749432,0.8643354001677412,
1552743_at,0.25099600224917396,0.1747506287304661,
1552745_at,-0.005835885031249433,0.9701061855003001,
1552747_a_at,-0.00829777753306793,0.9627120990038833,
1552749_a_at,-0.08644746456068475,0.5885178909045661,
1552750_at,0.0979645087438632,0.598043823887441,
1552751_a_at,-0.1939749456967812,0.17048240361257178,
1552752_a_at,0.17046621972539455,0.24440767377384653,
